Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),2141207860449.88,0.0,0.0,1079057249255.44,0.0,5850652229919.3,,
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
natural gas (BTU),5679715665830.25,0.0,0.0,0.0,0.0,0.0,,
petroleum diesel (BTU),360345780946.145,0.0,0.0,0.0,0.0,0.0,,
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
biomass (BTU),4269951587536.84,0.0,0.0,0.0,0.0,0.0,,
kerosene (BTU),29640253975.6861,0.0,0.0,0.0,0.0,0.0,,
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
LPG propane or butane (BTU),509884625979.454,0.0,0.0,0.0,0.0,0.0,,
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
