Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,12937800000,13047600000,13157400000,13267300000,13377100000,13486900000,13545300000,13603700000,13662100000,13720500000,13778900000,14276300000,14773600000,15270900000,15768200000,16265500000,16627800000,16990200000,17352500000,17714800000,18077100000,18260700000,18444200000,18627700000,18811300000,18994800000,19798600000,20602400000,21406200000,22210000000,23013800000
-1100,-1050,853876000,2655820000,4457750000,6259690000,8061630000,9863570000,7890860000,5918140000,3945430000,1972710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236945000,473889000,710834000,947778000,1184720000
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,149930000,299860000,449791000,599721000,749651000,599721000,449791000,299860000,149930000,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,10086500000,8069180000,6051890000,4034590000,2017300000,0,0,0,0,0,0,0,0,0,0,0,4335900,8671810,13007700,17343600,21679500,17343600,13007700,8671810,4335900,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,247142000,197713000,148285000,98856700,49428400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5138580000,10277200000,15415700000,20554300000,25692900000
-800,-750,0,7493990000,14988000000,22482000000,29976000000,37470000000,30059700000,22649500000,15239300000,7829110000,418899000,335119000,251339000,167560000,83779800,0,434044000,868087000,1302130000,1736170000,2170220000,1736170000,1302130000,868087000,434044000,0,2910550000,5821100000,8731660000,11642200000,14552800000
-750,-700,38316700000,30701700000,23086700000,15471700000,7856690000,241680000,193344000,145008000,96672000,48336000,0,564885000,1129770000,1694650000,2259540000,2824420000,2259540000,1694650000,1129770000,564885000,0,0,0,0,0,0,0,0,0,0,0
-700,-650,2730250000,2718180000,2706110000,2694050000,2681980000,2669910000,9464730000,16259600000,23054400000,29849200000,36644000000,29620900000,22597900000,15574800000,8551720000,1528650000,8881500000,16234300000,23587200000,30940000000,38292900000,31304600000,24316400000,17328100000,10339900000,3351640000,2989380000,2627120000,2264860000,1902600000,1540340000
-650,-600,408337000,406533000,404728000,402923000,401118000,399313000,845164000,1291020000,1736870000,2182720000,2628570000,2102850000,1577140000,1051430000,525714000,0,3109010000,6218030000,9327040000,12436100000,15545100000,20680400000,25815600000,30950900000,36086200000,41221500000,33768700000,26315900000,18863100000,11410300000,3957450000
-600,-550,1306780000,1610050000,1913320000,2216590000,2519850000,2823120000,2327630000,1832140000,1336650000,841157000,345666000,13062700000,25779800000,38496900000,51213900000,63931000000,57402200000,50873300000,44344500000,37815700000,31286900000,25383600000,19480300000,13577000000,7673750000,1770480000,1583810000,1397150000,1210490000,1023820000,837157000
-550,-500,704779000,1470340000,2235910000,3001470000,3767040000,4532600000,4239810000,3947020000,3654230000,3361440000,3068640000,4853040000,6637430000,8421820000,10206200000,11990600000,9972290000,7953970000,5935650000,3917330000,1899010000,8566070000,15233100000,21900200000,28567200000,35234300000,33851200000,32468100000,31085000000,29702000000,28318900000
-500,-450,4963560000,4211430000,3459290000,2707150000,1955010000,1202870000,3115710000,5028540000,6941370000,8854200000,10767000000,8743550000,6720070000,4696590000,2673120000,649636000,2583550000,4517470000,6451390000,8385310000,10319200000,8325550000,6331870000,4338190000,2344520000,350839000,280671000,210503000,140336000,70167800,0
-450,-400,0,356976000,713951000,1070930000,1427900000,1784880000,1874610000,1964350000,2054080000,2143810000,2233550000,2530260000,2826970000,3123690000,3420400000,3717110000,5722820000,7728520000,9734220000,11739900000,13745600000,11736700000,9727850000,7718970000,5710080000,3701190000,2960950000,2220710000,1480480000,740238000,0
-400,-350,1825210000,1460170000,1095130000,730086000,365043000,0,6810810000,13621600000,20432400000,27243200000,34054000000,28761800000,23469500000,18177300000,12885000000,7592770000,8160060000,8727350000,9294640000,9861930000,10429200000,15203900000,19978700000,24753400000,29528100000,34302900000,29867800000,25432800000,20997700000,16562600000,12127600000
-350,-300,33800400000,35537800000,37275100000,39012500000,40749900000,42487200000,34443100000,26399100000,18355000000,10310900000,2266830000,5751520000,9236220000,12720900000,16205600000,19690300000,18748100000,17806000000,16863800000,15921600000,14979500000,17698200000,20416900000,23135600000,25854300000,28573000000,24182900000,19792900000,15402900000,11012900000,6622840000
-300,-250,10022900000,8091810000,6160760000,4229710000,2298660000,367603000,2216290000,4064970000,5913660000,7762350000,9611030000,21975500000,34340100000,46704600000,59069100000,71433600000,57282400000,43131300000,28980200000,14829000000,677869000,4382180000,8086490000,11790800000,15495100000,19199400000,17377100000,15554700000,13732400000,11910100000,10087700000
-250,-200,26239800000,29710000000,33180100000,36650200000,40120300000,43590400000,42234500000,40878600000,39522600000,38166700000,36810800000,30105400000,23400000000,16694600000,9989230000,3283850000,3381040000,3478230000,3575420000,3672600000,3769790000,4390360000,5010920000,5631480000,6252050000,6872610000,14940800000,23009000000,31077200000,39145400000,47213700000
-200,-150,41677300000,40218300000,38759200000,37300100000,35841000000,34381900000,28079700000,21777500000,15475400000,9173170000,2870980000,2296790000,1722590000,1148390000,574197000,0,908461000,1816920000,2725380000,3633850000,4542310000,4871740000,5201180000,5530610000,5860050000,6189480000,11504500000,16819600000,22134700000,27449700000,32764800000
