,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.2912402269694063,0.005037657966410714,0.001086074379710938,0.004268421735102733,0.001799663194922274,0.4316021617011994,0.05768282329428628,0.2223613475376825,0.04306629650694362,0.0011678509903583515,0.05030668343623081,0.005192421832871899,0.018232129627102776,0.003987776618210894,0.00471701851331459,0.0019587732382960405,0.001929058587064909,0.002167046775038979,0.0011875639880156762,0.0021917735868908932,0.0021965273820515603,0.0032904943128826674,0.0013777350207133587,0.007360722961245152,0.0008607879624760145,0.0004846373479612845,0.0009634770170112521,0.009757593666152977,0.004362006153941873,0.0022410926058275236,0.03410508862610078,0.002692067902966736,0.0015551845370791134,0.002197694129047564,0.001086998001415011,0.001426112665693355,0.002995573861572167,0.012002013050363925,0.009753906292453037,0.006154322914220086,0.010724079331995942,0.0
ISIC 05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC 06,4.352119635802398e-06,6.459283974342295e-06,1.0001009338712745,9.326815782569452e-06,2.612591503580818e-06,3.190789605681322e-06,3.0401987044674276e-06,4.009268833205052e-06,4.980300733440316e-06,0.0003114694413711812,1.4901501232071356e-05,1.1040517146771684e-06,4.1455587902944545e-06,6.015324374792276e-06,5.161015718370859e-06,4.148173117557581e-06,3.2004064975188865e-06,2.406499051854051e-06,6.255648479516743e-07,2.4374180572441517e-06,1.5554921763526058e-06,1.3142715347223096e-06,8.874313847789952e-07,1.3179409730386776e-06,3.152930918817377e-05,0.00017703740487585653,1.5118860622336946e-06,4.425587117340715e-06,1.6492826992214608e-06,1.1310030390619634e-05,2.0420851899462576e-06,9.160702309328703e-07,7.482345665640781e-07,8.381499562438809e-07,1.185104359121478e-06,1.8439366683014604e-06,8.058896139424435e-07,1.3152591628980108e-05,1.8971962180162083e-06,1.1843255929384303e-06,1.1694491553855653e-06,0.0
ISIC 07T08,0.006481646214965997,0.013776870471140878,0.0010650188535222427,1.0393226466807,0.0012981226148293,0.0032035824681841056,0.0017393809196172376,0.0027553665389134494,0.0041478866610898234,0.0018808348138751418,0.012070257007835369,0.000619450902046563,0.0029529294382774672,0.04108273254323455,0.0911913194645997,0.045421486837148334,0.060503855751131166,0.010588136121744005,0.0008046299368605386,0.005800856775715579,0.005141674763290404,0.004870286660568737,0.002555300084657054,0.0023660881545156712,0.001571609178288389,0.00019720894912599458,0.002288735990477891,0.015760469921482355,0.00042029866757511844,0.0006728909703583434,0.0007727064970305614,0.0008176938057566233,0.0009960450823293119,0.0009167782997647455,0.00023008652688318805,0.0007974629556741287,0.0007620399793110479,0.0013986370766484175,0.0010520215318881956,0.0007339740288253725,0.0028408841833895693,0.0
ISIC 09,1.4635191315004212e-06,0.00014177705324135324,0.00041750701539681356,0.00023373688965983892,1.00007632614717,7.297099838827915e-07,4.0225324412271703e-07,6.301739720878184e-07,9.457951828669214e-07,5.549519228733672e-07,2.727597339090332e-06,1.5388040662515544e-07,6.741167698602235e-07,9.2519783449412e-06,2.052061301898387e-05,1.0224970242733961e-05,1.3614265562528536e-05,2.3948442713951893e-06,1.9886255896884747e-07,1.3121385874716614e-06,1.1679902634497946e-06,1.103775550193472e-06,5.875263925367901e-07,5.415713813811876e-07,3.7470226859954253e-07,1.2628233278553685e-07,5.23679758234656e-07,3.5541487082974687e-06,1.135284754660865e-07,1.65957773000126e-07,1.9405088132610876e-07,2.0924710996838079e-07,2.4751141327246134e-07,2.298882949376602e-07,6.701366007881539e-08,1.8924328111313002e-07,3.139637131771689e-07,3.3214500253788116e-07,2.4491593413450737e-07,1.8026679634401455e-07,6.508096565297153e-07,0.0
ISIC 10T12,0.15902623448339126,0.0012088723709921519,0.0007076871381279946,0.0014311754721372813,0.0012774963595526682,1.304723572890784,0.03468578479187631,0.02949083793170111,0.023983586563472534,0.0012049013067925102,0.01337831583645269,0.008029366629773443,0.005142038028328033,0.0020992155122251184,0.004662689764317867,0.0018923704274273713,0.00103074912845909,0.0015633281685070884,0.0008216134353786771,0.0011453347206470403,0.001314884239642504,0.0012980396799151283,0.0009235247006569598,0.0020930686305680847,0.0010919875515867288,0.0007867999416127782,0.0010566706078256273,0.0019147877108272723,0.005280987032888201,0.003139888752615216,0.09093647270485337,0.003181371353790342,0.0018456533634306936,0.002741776815726894,0.001857857690007436,0.0012883264065258236,0.004043529451511521,0.024255284763654333,0.02641857535084577,0.015314781048581494,0.025617493076134763,0.0
ISIC 13T15,0.0005917212493480002,0.00019390997553044535,8.572199940962868e-05,0.00022461061265511854,0.00013130632132815845,0.0006795883848043246,1.0701720152694638,0.0034368590770176067,0.010103959783626916,6.50606684871777e-05,0.0002847616769497177,0.000147432446391354,0.00394494184351032,0.00041106251698390405,0.0017041897254644937,0.0003347162997627085,0.0001865286741573073,0.00023907645684507676,9.826803137458026e-05,0.0002515455277350842,0.001615973072179539,0.005142802125814814,0.0021573577797993283,0.005463236418046508,8.255972735896527e-05,4.75788179490048e-05,0.0006107179584409721,0.001085301792845433,0.0010136533791017359,0.0003664507339582527,0.0005888357146742037,0.00046304195407940194,0.000327786869309131,0.0002118118544844782,9.941617988601828e-05,0.0001769487838294693,0.00021430222251351156,0.0009190464329000687,0.0002095032047724379,0.0008167287947765529,0.0007776414355065251,0.0
ISIC 16,0.0019908600548812494,0.0025675840518614847,0.0004504172004838835,0.002287252752544625,0.0016446860102476866,0.0024465986207731993,0.001217453229163561,1.224584996238732,0.027384162388190202,0.000408394153913759,0.001530526608470471,0.0005396571454846608,0.006421611202184381,0.003768341765665124,0.006659745804182508,0.0013687781079361222,0.004521165865872345,0.0016844389721803535,0.0020703002484526952,0.002810654673619293,0.003484908259532337,0.00794668608815197,0.0018508715826004597,0.019468024560577227,0.0007590668998947154,0.0003408070727199634,0.0006778667640435087,0.031543136266824714,0.0022802809857410764,0.0030525730226774886,0.0023180900322363135,0.0020493806725732236,0.002147646309154048,0.003294590255085006,0.0006274499043943338,0.0033440854566695252,0.001018919758158526,0.0032780556658507814,0.0008040012441419753,0.001851244237259662,0.0011731164975678123,0.0
ISIC 17T18,0.006871118695453565,0.003779714864430649,0.0019484161277815415,0.005244004750192902,0.0022421298893407957,0.0380455953614173,0.012489021203923072,0.011901978919662484,1.2121552063161827,0.0009302050608749645,0.016285050231999856,0.009614778715006485,0.02479672213737186,0.02721660088661745,0.01781289514969238,0.008681512402433077,0.01009986232561383,0.011773085111223162,0.003822372251606205,0.012628006275861397,0.009822318953849428,0.008924079991561674,0.005296835742444994,0.011965382552221843,0.001254366290353129,0.0009820677782423099,0.0033301321971280773,0.004796970681628691,0.009625632960405871,0.0078118684216313536,0.011584025741243193,0.030920211444486954,0.005667227797417246,0.013448046030494399,0.004757309384973697,0.001939868144578748,0.008030463247081525,0.013918099823374181,0.005961732492366747,0.008794883386196094,0.006401974956394553,0.0
ISIC 19,0.007997700943221787,0.01704156999581378,0.005714563954140873,0.019863527342664878,0.007417926248886547,0.004768172179910537,0.0022732147495387886,0.006485620233765202,0.005659061634643757,1.009244729417627,0.007094168027335546,0.001051861824360402,0.0034819600285474622,0.006211191988565383,0.005894300969382498,0.006581453685378155,0.003444111474300348,0.002824798774718029,0.0008538969827227589,0.004616359092129856,0.002438522014829641,0.0015152809654074022,0.0011464527330676284,0.0019669001468943454,0.009333515828670393,0.0008225071380944758,0.0032134330445135304,0.012420689406827204,0.002895699170932554,0.033625604426215774,0.002550005011145783,0.0014556457646496426,0.0011407440863400813,0.0016305706178941625,0.002486543487562271,0.0017294024876519697,0.001353448968342193,0.014395386742203928,0.0014492432431427791,0.0018947435671026504,0.001907739590508638,0.0
